,Compound,Date,Negative,Neutral,Positive,Tweet,User
98,0.92,2018-06-11 03:02:06,0.537,0.0,0.463,Congratulations are in order for @TheKatrinaLenk! She just won for Best Leading Actress in a Musical. #TonyAwards https://t.co/t9bNvpiEmH,CBS
99,0.8478,2018-06-11 03:10:33,0.594,0.0,0.406,An end to a magical evening. The Band's Visit wins for Best Musical! #TonyAwards https://t.co/ODza97n8YH,CBS
100,0.8478,2018-06-11 03:10:33,0.594,0.0,0.406,An end to a magical evening. The Band's Visit wins for Best Musical! #TonyAwards https://t.co/ODza97n8YH,CBS
101,0.4767,2018-06-11 06:04:41,0.78,0.0,0.22,See the complete list of winners from the 2018 #TonyAwards: https://t.co/9XK6CGeber https://t.co/HkUIN4Quej,CBS
102,0.4767,2018-06-11 06:04:41,0.78,0.0,0.22,See the complete list of winners from the 2018 #TonyAwards: https://t.co/9XK6CGeber https://t.co/HkUIN4Quej,CBS
103,0.0,2018-06-11 06:19:36,1.0,0.0,0.0,Here are all the performances from the 2018 #TonyAwards: https://t.co/gN4ItpFlRd https://t.co/fSMNBXKC9r,CBS
104,0.0,2018-06-11 06:19:36,1.0,0.0,0.0,Here are all the performances from the 2018 #TonyAwards: https://t.co/gN4ItpFlRd https://t.co/fSMNBXKC9r,CBS
105,0.4404,2018-06-11 07:03:07,0.854,0.0,0.146,"🐺🏔🌲🎧
Need to relax? 

Sit back, close your eyes and LISTEN to the incredible sounds of Alaska... https://t.co/oxXS1KWHKW",BBC
106,0.0258,2018-06-11 07:29:06,0.948,0.0,0.052,"From fallopian tubes to the G-spot, women’s body parts have been named by – and after – men. 

Does it matter?
👉… https://t.co/AYYGElSo0U",BBC
107,0.6476,2018-06-11 08:01:05,0.602,0.0,0.398,🌭🐶 Two hundred dachshunds in one place... yes please! https://t.co/2ugZtgmBZ7,BBC
108,0.5719,2018-06-11 10:12:03,0.837,0.0,0.163,"We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote.

Here's… https://t.co/5mfz9HMRb8",BBC
109,0.34,2018-06-11 11:03:05,0.888,0.0,0.112,"Is visual learning a myth?  🤔📚✍

Studies have been unable to find robust evidence to suggest matching teaching to p… https://t.co/Ltv1kIAf2h",BBC
110,0.4588,2018-06-11 11:03:13,0.786,0.0,0.214,RT @BBCNews: 'I'm glad I was the first guardsman to wear a turban' https://t.co/fL4yzmOAPU,BBC
111,0.6801,2018-06-11 12:01:04,0.663,0.0,0.337,⚽ What's it like to be the most powerful woman in international sport? https://t.co/MqcaxKtJeH,BBC
112,-0.2023,2018-06-11 13:03:03,0.733,0.151,0.116,"Think bacteria are bad? Think again. 🥛🥒🧀

These are things you should eat to get a healthy gut. 👉… https://t.co/ZS4UEckeoR",BBC
113,0.0,2018-06-11 14:00:37,1.0,0.0,0.0,How do you know @SaraBareilles and @joshgroban's music? #TonyAwards https://t.co/POMXBORfUT,CBS
114,0.0,2018-06-11 14:00:37,1.0,0.0,0.0,How do you know @SaraBareilles and @joshgroban's music? #TonyAwards https://t.co/POMXBORfUT,CBS
115,0.2732,2018-06-11 14:25:15,0.905,0.0,0.095,"The UK could see an end to homelessness within 10 years if the government embraces certain policies, according to t… https://t.co/7aqYA3BaEE",BBC
116,-0.2263,2018-06-11 15:03:32,0.921,0.079,0.0,"'My mum had tears coming out of her eyes'. 

❤️ This Sikh soldier became the first person to wear a turban for the… https://t.co/op7eX7mW5x",BBC
117,0.8908,2018-06-11 15:11:47,0.602,0.0,0.398,"RT @bbc5live: ""Be in charge of your own happiness"" 💪

 Inspiring words from champion wrestler @missviper91!

#FightLikeAGirl is on @BBCOne…",BBC
118,0.5423,2018-06-11 15:18:53,0.711,0.075,0.213,RT @BBCr4today: The building blocks of life have been found on Mars and @SanjeevGupta45 says it's an exciting prospect 👽 #r4today https://t…,BBC
119,0.5423,2018-06-11 16:00:11,0.696,0.0,0.304,"🚺😂 @SandiToksvig can't get a moment of peace. 
#QI https://t.co/D9YlBYFxpp",BBC
120,0.0498,2018-06-11 17:31:06,0.742,0.105,0.152,"Follow top female wrestler Kimberly Benson, aka Viper, as she fights in some of the most important matches of her c… https://t.co/KE73F2VSI8",BBC
121,0.0258,2018-06-11 18:00:20,0.922,0.0,0.078,"'Everything that happened, could have been prevented. But it wasn't.'
#Grenfell | 8.30pm | @BBCOne https://t.co/WN4aCfoNTA",BBC
